#NAME	SampleType	Location	Tank	Treatment	Total Length (cm)	Total Weight (g)	Condition Factor 	Liver Weight (g)	Gonad Weight (g)	Notes
KK679	Fish gut contents	Field		Field	6.3	3.221	1.288157826	0.124	0.236	
KK680	Fish gut contents	Field		Field	6.4	3.16	1.205444336	0.109	0.279	
KK681	Fish gut contents	Field		Field	5	1.565	1.252	0.053	0.141	
KK682	Fish gut contents	Field		Field	5.2	1.737	1.23534934	0.053	0.156	
KK683	Fish gut contents	Field		Field	6.3	3.208	1.282958804	0.086	0.074	
KK684	Fish gut contents	Field		Field	5.5	2.034	1.222539444	0.066	0.08	low gut content
KK685	Fish gut contents	Field		Field	6.1	2.843	1.252527745	0.084	0.171	low gut content
KK686	Fish gut contents	Field		Field	5.1	1.759	1.326035989	0.058	0.147	
KK687	Fish gut contents	Field		Field	4.7	1.33	1.281026362	0.05	0.119	
KK688	Fish gut contents	Field		Field	4.8	1.347	1.217990451	0.047	0.092	
KK689	Fish gut contents	Field		Field	6.5	3.532	1.286117433	0.084	0.09	
KK690	Fish gut contents	Field		Field	6.5	3.535	1.287209832	0.113	0.325	
KK691	Fish gut contents	Field		Field	5.5	1.973	1.185875282	0.056	0.088	
KK692	Fish gut contents	Field		Field	6.4	2.934	1.119232178	0.087	0.121	
KK693	Fish gut contents	Field		Field	5.1	1.57	1.183556852	0.062	0.072	
KK694	Wash solution	Field								field - bleach
KK695	Wash solution	Field								field - ethanol
KK696	Wash solution	Field								field - nanopure
KK697	Fish gut contents	Acclimation	7	Acclimation	5.4	1.816	1.15327948	0.025	0.013	
KK698	Fish gut contents	Acclimation	7	Acclimation	5.5	2.033	1.221938392	0.024	0.07	
KK699	Fish gut contents	Acclimation	7	Acclimation	5.8	2.973	1.523740211	0.026	0.032	low gut content
KK700	Fish gut contents	Acclimation	7	Acclimation	5.5	2.067	1.242374155	0.013	0.022	low gut content
KK701	Fish gut contents	Acclimation	7	Acclimation	5.4	2.329	1.479068231	0.031	0.02	
KK702	Fish gut contents	Acclimation	1	Acclimation	5.1	1.463	1.10289406	0.024	0.018	
KK703	Fish gut contents	Acclimation	1	Acclimation	5.3	1.645	1.104938976	0.018	0.13	
KK704	Fish gut contents	Acclimation	1	Acclimation	5.4	1.896	1.204084743	0.028	0.077	
KK705	Fish gut contents	Acclimation	1	Acclimation	5.4	2.022	1.284103033	0.029	0.147	
KK706	Fish gut contents	Acclimation	1	Acclimation	5.4	1.678	1.0656404	0.024	0.02	
KK707	Fish gut contents	Acclimation	1	Acclimation	5	1.24	0.992	0.024	0.056	
KK708	Fish gut contents	Acclimation	1	Acclimation	5.2	1.593	1.132936959	0.016	0.03	
KK709	Fish gut contents	Acclimation	2	Acclimation	5.7	2.552	1.378021847	0.034	0.074	
KK710	Fish gut contents	Acclimation	2	Acclimation	5.3	1.64	1.101580499	0.023	0.018	
KK711	Fish gut contents	Acclimation	2	Acclimation	5.8	2.399	1.229550207	0.024	0.204	
KK712	Fish gut contents	Acclimation	2	Acclimation	5.4	1.973	1.252984809	0.022	0.169	
KK713	Fish gut contents	Acclimation	2	Acclimation	5	1.619	1.2952	0.019	0.054	
KK714	Wash solution	Acclimation								
KK715	Wash solution	Acclimation								
KK716	Wash solution	Acclimation								
KK717	Diet									
KK718	Diet									
KK719	Diet									
KK720	Fish gut contents	Exposure	15	10%	4.9	1.238	1.052282637	0.007	0.05	Exposure period; low gut content
KK721	Fish gut contents	Exposure	15	10%	5.1	1.438	1.084047614	0.019	0.014	
KK722	Fish gut contents	Exposure	15	10%	5	1.284	1.0272	0.01	0.016	
KK723	Fish gut contents	Exposure	15	10%	5	1.251	1.0008	0.009	0.012	low gut content
KK724	Fish gut contents	Exposure	15	10%	5.5	1.853	1.113749061	0.021	0.032	
KK725	Fish gut contents	Exposure	15	10%	5.3	1.454	0.97664515	0.01	0.142	
KK726	Fish gut contents	Exposure	8	20%	5.2	1.318	0.937357761	0.01	0.015	parasites (many had parasites - stopped recording this)
KK727	Fish gut contents	Exposure	8	20%	4.8	1.09	0.985604745	0.01	0.018	
KK728	Fish gut contents	Exposure	8	20%	5	1.346	1.0768	0.013	0.125	low gut content
KK729	Fish gut contents	Exposure	8	20%	5.9	2.085	1.015196296	0.019	0.039	
KK730	Fish gut contents	Exposure	8	20%	5.5	1.758	1.056649136	0.023	0.021	
KK731	Fish gut contents	Exposure	8	20%	4.8	1.318	1.19176794	0.007	0.096	
KK732	Fish gut contents	Exposure	8	20%	4.9	1.21	1.02848303	0.008	0.017	low gut content
KK733	Fish gut contents	Exposure	11	40%	5.3	1.737	1.166734956	0.012	0.108	
KK734	Fish gut contents	Exposure	11	40%	4.9	1.005	0.854235905	0.007	0.017	"bloody gonad, one lobe"
KK735	Fish gut contents	Exposure	11	40%	5.3	1.546	1.038441129	0.019	0.024	low gut content
