#NAME	SampleType	Site	Location	Note	Length (cm)	Weight (g)	Condition Factor	Temperature	DO	Conductivity	TDS	pH	NH4	NH3
KK25	gut content	2_REF2	Upstream		5.1	1.731	1.304927969	6.6	12.25	282.6	283.7	7.9	0.06	0
KK26	gut content	2_REF2	Upstream		5.2	1.558	1.108045061							
KK27	gut content	2_REF2	Upstream		6.4	3.515	1.340866089							
KK28	gut content	2_REF2	Upstream		5.3	1.789	1.201663118							
KK29	gut content	2_REF2	Upstream		5	1.476	1.1808							
KK30	gut content	2_REF2	Upstream		5.5	1.955	1.175056349							
KK31	gut content	2_REF2	Upstream		5.5	2.034	1.222539444							
KK32	gut content	2_REF2	Upstream		5.3	1.749	1.174795301							
KK33	gut content	2_REF2	Upstream		5.2	1.784	1.268775603							
KK34	gut content	2_REF2	Upstream		5.5	1.581	0.95026296							
KK35	gut content	2_REF2	Upstream		5.4	1.799	1.142483361							
KK36	gut content	2_REF2	Upstream	low gut content	4.7	1.098	1.057569132							
KK37	gut content	2_REF2	Upstream		5.6	2.255	1.284051567							
KK38	gut content	2_REF2	Upstream		6	2.852	1.32037037							
KK39	gut content	2_REF2	Upstream		6.1	2.666	1.174547649							
KK40	wash	2_REF2	Upstream											
KK41	wash	2_REF2	Upstream											
KK42	wash	2_REF2	Upstream											
KK43	gut content	1_REF1	Upstream	low gut content	5.8	2.584	1.324367543	9.2	12.82	300.7	279.8	8.08	0.04	0
KK44	gut content	1_REF1	Upstream		5.6	2.251	1.28177387							
KK45	gut content	1_REF1	Upstream		5.8	2.501	1.281827873							
KK46	gut content	1_REF1	Upstream		5.7	2.324	1.254907043							
KK47	gut content	1_REF1	Upstream		5.5	2.044	1.228549962							
KK48	gut content	1_REF1	Upstream		6	3.124	1.446296296							
KK49	gut content	1_REF1	Upstream		5.4	1.841	1.169156125							
KK50	gut content	1_REF1	Upstream	low gut content	6.1	3.05	1.343724805							
KK51	gut content	1_REF1	Upstream	messed up ovary	5.6	2.458	1.399644679							
KK52	gut content	1_REF1	Upstream		6.3	3.26	1.303754894							
KK53	gut content	1_REF1	Upstream		5.5	2.178	1.309090909							
KK54	gut content	1_REF1	Upstream		6.6	3.805	1.323496675							
KK55	gut content	1_REF1	Upstream		5.1	1.49	1.123248223							
KK56	gut content	1_REF1	Upstream		5.4	2.144	1.36158106							
KK57	gut content	1_REF1	Upstream		4.8	1.154	1.043475116							
KK58	wash	1_REF1	Upstream											
KK59	wash	1_REF1	Upstream											
KK60	wash	1_REF1	Upstream											
KK61	gut content	4_DSW1	Downstream_Waterloo		6.2	3.128	1.312476923	9	11.22	639.2	596.7	7.89	0.12	0
KK62	gut content	4_DSW1	Downstream_Waterloo		5.3	1.773	1.190915991							
KK63	gut content	4_DSW1	Downstream_Waterloo		5.4	1.897	1.204719809							
KK64	gut content	4_DSW1	Downstream_Waterloo		6.5	3.552	1.293400091							
KK65	gut content	4_DSW1	Downstream_Waterloo	worm?	5.6	2.056	1.170736152							
KK66	gut content	4_DSW1	Downstream_Waterloo		5	1.604	1.2832							
KK67	gut content	4_DSW1	Downstream_Waterloo		6.2	3.213	1.348142056							
KK68	gut content	4_DSW1	Downstream_Waterloo		5.6	2.033	1.157639395							
KK69	gut content	4_DSW1	Downstream_Waterloo		5.3	1.763	1.184199037							
KK70	gut content	4_DSW1	Downstream_Waterloo		5.4	1.94	1.232027638							
KK71	gut content	4_DSW1	Downstream_Waterloo		5.3	1.724	1.158002915							
KK72	gut content	4_DSW1	Downstream_Waterloo	low gut content	6	2.621	1.213425926							
KK73	gut content	4_DSW1	Downstream_Waterloo	low gut content	5.5	1.727	1.038016529							
KK74	gut content	4_DSW1	Downstream_Waterloo	low gut content	5.2	1.51	1.073907601							
KK75	gut content	4_DSW1	Downstream_Waterloo		5.1	1.448	1.091586192							
