#NAME	SampleType	Site	Location	Distance	Note	Length (cm)	Weight (g)	Condition Factor	Temperature	DO	Conductivity	TDS	pH	NH4	NH3
KK25	gut content	2_REF2	Upstream	11.762		5.1	1.731	0.01304928	6.6	12.25	282.6	283.7	7.9	0.06	0
KK26	gut content	2_REF2	Upstream	11.762		5.2	1.558	0.011080451	6.6	12.25	282.6	283.7	7.9	0.06	0
KK27	gut content	2_REF2	Upstream	11.762		6.4	3.515	0.013408661	6.6	12.25	282.6	283.7	7.9	0.06	0
KK28	gut content	2_REF2	Upstream	11.762		5.3	1.789	0.012016631	6.6	12.25	282.6	283.7	7.9	0.06	0
KK29	gut content	2_REF2	Upstream	11.762		5	1.476	0.011808	6.6	12.25	282.6	283.7	7.9	0.06	0
KK30	gut content	2_REF2	Upstream	11.762		5.5	1.955	0.011750563	6.6	12.25	282.6	283.7	7.9	0.06	0
KK31	gut content	2_REF2	Upstream	11.762		5.5	2.034	0.012225394	6.6	12.25	282.6	283.7	7.9	0.06	0
KK32	gut content	2_REF2	Upstream	11.762		5.3	1.749	0.011747953	6.6	12.25	282.6	283.7	7.9	0.06	0
KK33	gut content	2_REF2	Upstream	11.762		5.2	1.784	0.012687756	6.6	12.25	282.6	283.7	7.9	0.06	0
KK34	gut content	2_REF2	Upstream	11.762		5.5	1.581	0.00950263	6.6	12.25	282.6	283.7	7.9	0.06	0
KK35	gut content	2_REF2	Upstream	11.762		5.4	1.799	0.011424834	6.6	12.25	282.6	283.7	7.9	0.06	0
KK36	gut content	2_REF2	Upstream	11.762	low gut content	4.7	1.098	0.010575691	6.6	12.25	282.6	283.7	7.9	0.06	0
KK37	gut content	2_REF2	Upstream	11.762		5.6	2.255	0.012840516	6.6	12.25	282.6	283.7	7.9	0.06	0
KK38	gut content	2_REF2	Upstream	11.762		6	2.852	0.013203704	6.6	12.25	282.6	283.7	7.9	0.06	0
KK39	gut content	2_REF2	Upstream	11.762		6.1	2.666	0.011745476	6.6	12.25	282.6	283.7	7.9	0.06	0
KK40	wash	2_REF2	Upstream	11.762					6.6	12.25	282.6	283.7	7.9	0.06	0
KK41	wash	2_REF2	Upstream	11.762					6.6	12.25	282.6	283.7	7.9	0.06	0
KK42	wash	2_REF2	Upstream	11.762					6.6	12.25	282.6	283.7	7.9	0.06	0
KK43	gut content	1_REF1	Upstream	17.185	low gut content	5.8	2.584	0.013243675	9.2	12.82	300.7	279.8	8.08	0.04	0
KK44	gut content	1_REF1	Upstream	17.185		5.6	2.251	0.012817739	9.2	12.82	300.7	279.8	8.08	0.04	0
KK45	gut content	1_REF1	Upstream	17.185		5.8	2.501	0.012818279	9.2	12.82	300.7	279.8	8.08	0.04	0
KK46	gut content	1_REF1	Upstream	17.185		5.7	2.324	0.01254907	9.2	12.82	300.7	279.8	8.08	0.04	0
KK47	gut content	1_REF1	Upstream	17.185		5.5	2.044	0.0122855	9.2	12.82	300.7	279.8	8.08	0.04	0
KK48	gut content	1_REF1	Upstream	17.185		6	3.124	0.014462963	9.2	12.82	300.7	279.8	8.08	0.04	0
KK49	gut content	1_REF1	Upstream	17.185		5.4	1.841	0.011691561	9.2	12.82	300.7	279.8	8.08	0.04	0
KK50	gut content	1_REF1	Upstream	17.185	low gut content	6.1	3.05	0.013437248	9.2	12.82	300.7	279.8	8.08	0.04	0
KK51	gut content	1_REF1	Upstream	17.185	messed up ovary	5.6	2.458	0.013996447	9.2	12.82	300.7	279.8	8.08	0.04	0
KK52	gut content	1_REF1	Upstream	17.185		6.3	3.26	0.013037549	9.2	12.82	300.7	279.8	8.08	0.04	0
KK53	gut content	1_REF1	Upstream	17.185		5.5	2.178	0.013090909	9.2	12.82	300.7	279.8	8.08	0.04	0
KK54	gut content	1_REF1	Upstream	17.185		6.6	3.805	0.013234967	9.2	12.82	300.7	279.8	8.08	0.04	0
KK55	gut content	1_REF1	Upstream	17.185		5.1	1.49	0.011232482	9.2	12.82	300.7	279.8	8.08	0.04	0
KK56	gut content	1_REF1	Upstream	17.185		5.4	2.144	0.013615811	9.2	12.82	300.7	279.8	8.08	0.04	0
KK57	gut content	1_REF1	Upstream	17.185		4.8	1.154	0.010434751	9.2	12.82	300.7	279.8	8.08	0.04	0
KK58	wash	1_REF1	Upstream	17.185					9.2	12.82	300.7	279.8	8.08	0.04	0
KK59	wash	1_REF1	Upstream	17.185					9.2	12.82	300.7	279.8	8.08	0.04	0
KK60	wash	1_REF1	Upstream	17.185					9.2	12.82	300.7	279.8	8.08	0.04	0
KK61	gut content	4_DSW1	Downstream_Waterloo	0.987		6.2	3.128	0.013124769	9	11.22	639.2	596.7	7.89	0.12	0
KK62	gut content	4_DSW1	Downstream_Waterloo	0.987		5.3	1.773	0.01190916	9	11.22	639.2	596.7	7.89	0.12	0
KK63	gut content	4_DSW1	Downstream_Waterloo	0.987		5.4	1.897	0.012047198	9	11.22	639.2	596.7	7.89	0.12	0
KK64	gut content	4_DSW1	Downstream_Waterloo	0.987		6.5	3.552	0.012934001	9	11.22	639.2	596.7	7.89	0.12	0
KK65	gut content	4_DSW1	Downstream_Waterloo	0.987	worm?	5.6	2.056	0.011707362	9	11.22	639.2	596.7	7.89	0.12	0
KK66	gut content	4_DSW1	Downstream_Waterloo	0.987		5	1.604	0.012832	9	11.22	639.2	596.7	7.89	0.12	0
KK67	gut content	4_DSW1	Downstream_Waterloo	0.987		6.2	3.213	0.013481421	9	11.22	639.2	596.7	7.89	0.12	0
KK68	gut content	4_DSW1	Downstream_Waterloo	0.987		5.6	2.033	0.011576394	9	11.22	639.2	596.7	7.89	0.12	0
KK69	gut content	4_DSW1	Downstream_Waterloo	0.987		5.3	1.763	0.01184199	9	11.22	639.2	596.7	7.89	0.12	0
KK70	gut content	4_DSW1	Downstream_Waterloo	0.987		5.4	1.94	0.012320276	9	11.22	639.2	596.7	7.89	0.12	0
KK71	gut content	4_DSW1	Downstream_Waterloo	0.987		5.3	1.724	0.011580029	9	11.22	639.2	596.7	7.89	0.12	0
KK72	gut content	4_DSW1	Downstream_Waterloo	0.987	low gut content	6	2.621	0.012134259	9	11.22	639.2	596.7	7.89	0.12	0
KK73	gut content	4_DSW1	Downstream_Waterloo	0.987	low gut content	5.5	1.727	0.010380165	9	11.22	639.2	596.7	7.89	0.12	0
KK74	gut content	4_DSW1	Downstream_Waterloo	0.987	low gut content	5.2	1.51	0.010739076	9	11.22	639.2	596.7	7.89	0.12	0
KK75	gut content	4_DSW1	Downstream_Waterloo	0.987		5.1	1.448	0.010915862	9	11.22	639.2	596.7	7.89	0.12	0
KK76	wash	4_DSW1	Downstream_Waterloo	0.987					9	11.22	639.2	596.7	7.89	0.12	0
KK77	wash	4_DSW1	Downstream_Waterloo	0.987					9	11.22	639.2	596.7	7.89	0.12	0
KK78	wash	4_DSW1	Downstream_Waterloo	0.987					9	11.22	639.2	596.7	7.89	0.12	0
KK79	gut content	3_REF3	Upstream	2.936		5.8	2.365	0.012121243	7	12.67	511.3	332.4	8.74	0.04	0
KK80	gut content	3_REF3	Upstream	2.936		6.4	3.272	0.012481689	7	12.67	511.3	332.4	8.74	0.04	0
KK81	gut content	3_REF3	Upstream	2.936	low gut content	5.6	2.056	0.011707362	7	12.67	511.3	332.4	8.74	0.04	0
KK82	gut content	3_REF3	Upstream	2.936		6.5	3.133	0.011408284	7	12.67	511.3	332.4	8.74	0.04	0
KK83	gut content	3_REF3	Upstream	2.936		6.4	3.065	0.011692047	7	12.67	511.3	332.4	8.74	0.04	0
KK84	gut content	3_REF3	Upstream	2.936	low gut content	5.2	1.792	0.012744652	7	12.67	511.3	332.4	8.74	0.04	0
KK85	gut content	3_REF3	Upstream	2.936		4.7	1.386	0.013349643	7	12.67	511.3	332.4	8.74	0.04	0
KK86	gut content	3_REF3	Upstream	2.936		5.6	2.059	0.011724444	7	12.67	511.3	332.4	8.74	0.04	0
KK87	gut content	3_REF3	Upstream	2.936		5.9	2.486	0.012104451	7	12.67	511.3	332.4	8.74	0.04	0
KK88	gut content	3_REF3	Upstream	2.936	fish dropped in EtOH	6	2.48	0.011481481	7	12.67	511.3	332.4	8.74	0.04	0
KK89	gut content	3_REF3	Upstream	2.936	fish dropped in EtOH	5.4	1.601	0.010167403	7	12.67	511.3	332.4	8.74	0.04	0
KK90	gut content	3_REF3	Upstream	2.936		5.1	1.5	0.011307868	7	12.67	511.3	332.4	8.74	0.04	0
KK91	gut content	3_REF3	Upstream	2.936		5.7	2.379	0.012846058	7	12.67	511.3	332.4	8.74	0.04	0
KK92	gut content	3_REF3	Upstream	2.936		6.6	1.989	0.006918357	7	12.67	511.3	332.4	8.74	0.04	0
KK93	gut content	3_REF3	Upstream	2.936		5.5	1.892	0.011371901	7	12.67	511.3	332.4	8.74	0.04	0
KK94	wash	3_REF3	Upstream	2.936					7	12.67	511.3	332.4	8.74	0.04	0
KK95	wash	3_REF3	Upstream	2.936					7	12.67	511.3	332.4	8.74	0.04	0
KK96	wash	3_REF3	Upstream	2.936					7	12.67	511.3	332.4	8.74	0.04	0
KK97	gut content	5_DSW2	Downstream_Waterloo	7.713		7	4.253	0.012399417	6.7	13.67	438.2	437.5	8.41	0.09	0
KK98	gut content	5_DSW2	Downstream_Waterloo	7.713		6.3	2.748	0.010989934	6.7	13.67	438.2	437.5	8.41	0.09	0
KK99	gut content	5_DSW2	Downstream_Waterloo	7.713		5.5	1.942	0.011672427	6.7	13.67	438.2	437.5	8.41	0.09	0
KK100	gut content	5_DSW2	Downstream_Waterloo	7.713		5.5	2.01	0.012081142	6.7	13.67	438.2	437.5	8.41	0.09	0
KK101	gut content	5_DSW2	Downstream_Waterloo	7.713		5.7	2.454	0.013251041	6.7	13.67	438.2	437.5	8.41	0.09	0
KK102	gut content	5_DSW2	Downstream_Waterloo	7.713		5.3	1.804	0.012117385	6.7	13.67	438.2	437.5	8.41	0.09	0
KK103	gut content	5_DSW2	Downstream_Waterloo	7.713		4.7	1.249	0.01203009	6.7	13.67	438.2	437.5	8.41	0.09	0
KK104	gut content	5_DSW2	Downstream_Waterloo	7.713		5.8	2.665	0.013658822	6.7	13.67	438.2	437.5	8.41	0.09	0
KK105	gut content	5_DSW2	Downstream_Waterloo	7.713		6.5	3.332	0.012132909	6.7	13.67	438.2	437.5	8.41	0.09	0
KK106	gut content	5_DSW2	Downstream_Waterloo	7.713		6	2.603	0.012050926	6.7	13.67	438.2	437.5	8.41	0.09	0
